0,0.003773148,6.99,110.89,,1,0.003773148,16.23,39.36
0,0.004166667,6.59,110.23,,1,0.004166667,15.37,39.88
0,0.004548611,6.52,109.57,,1,0.004548611,15.09,39.95
0,0.004930556,6.54,108.11,,1,0.004930556,14.71,40.13
0,0.005324074,6.06,107.11,,1,0.005324074,13.9,40.75
0,0.005706019,5.74,106.08,,1,0.005706019,13.7,40.93
0,0.006087963,5.94,105.04,,1,0.006087963,12.99,41.54
0,0.006481481,5.45,104.03,,1,0.006481481,14.17,40.63
0,0.006863426,5.42,103.73,,1,0.006863426,12.24,41.91
0,0.00724537,5.21,101.93,,1,0.00724537,13.43,41.04
0,0.007638889,5.1,101.24,,1,0.007638889,13.13,41.04
0,0.008020833,5.25,101.07,,1,0.008020833,10.31,43.02
0,0.008402778,5.52,100.7,,1,0.008402778,9.8,43.24
0,0.008796296,7.11,100.63,,1,0.008796296,9.38,43.54
0,0.009178241,7.17,100.29,,1,0.009178241,9.17,43.71
0,0.009560185,7.54,100.53,,1,0.009560185,8.76,43.99
0,0.009953704,7.41,100.93,,1,0.009953704,8.34,44.26
0,0.010335648,7.63,101.02,,1,0.010335648,8.2,44.3
0,0.010717593,7.63,101.02,,1,0.010717593,7.72,44.49
0,0.011111111,7.63,101.02,,1,0.011111111,7.31,44.76
0,0.011493056,7.63,101.02,,1,0.011493056,7.18,44.79
0,0.011875,7.63,101.02,,1,0.011875,6.86,45.01
0,00:02:000,7.63,101.02,,1,00:02:000,6.57,45.21
0,00:02:033,7.63,101.02,,1,00:02:033,6.48,45.52
0,00:02:066,7.63,101.02,,1,00:02:066,6.76,45.96
0,0.002546296,7.63,101.02,,1,0.002546296,6.36,46.23
0,0.002928241,7.63,101.02,,1,0.002928241,6.14,46.45
0,0.003310185,7.63,101.02,,1,0.003310185,6.51,46.18
0,0.003703704,7.63,101.02,,1,0.003703704,6.03,46.77
0,0.004085648,7.63,101.02,,1,0.004085648,5.67,47.11
0,0.004467593,7.63,101.02,,1,0.004467593,4.76,48.16
0,0.004861111,7.63,101.02,,1,0.004861111,4.58,48.65
0,0.005243056,7.63,101.02,,1,0.005243056,4.4,48.87
0,0.005625,7.63,101.02,,1,0.005625,4.19,49.27
0,0.006018519,7.63,101.02,,1,0.006018519,3.94,49.69
0,0.006400463,7.63,101.02,,1,0.006400463,3.83,49.86
0,0.006782407,7.63,101.02,,1,0.006782407,3.56,50.12
0,0.007175926,7.63,101.02,,1,0.007175926,3.33,50.42
0,0.00755787,7.63,101.02,,1,0.00755787,3.25,50.43
0,0.007939815,7.63,101.02,,1,0.007939815,3.13,50.83
0,0.008333333,7.63,101.02,,1,0.008333333,3.13,50.83
0,0.008715278,7.63,101.02,,1,0.008715278,3.13,50.83
0,0.009097222,7.63,101.02,,1,0.009097222,3.13,50.83
0,0.009490741,7.63,101.02,,1,0.009490741,3.13,50.83
0,0.009872685,7.63,101.02,,1,0.009872685,3.13,50.83
0,0.01025463,7.63,101.02,,1,0.01025463,4.1,51
0,0.010648148,7.63,101.02,,1,0.010648148,4.53,51.17
0,0.011030093,7.63,101.02,,1,0.011030093,4.82,51.33
0,0.011412037,7.63,101.02,,1,0.011412037,5.48,51.68
0,0.011805556,7.63,101.02,,1,0.011805556,5.98,52.15
0,0.0121875,7.63,101.02,,1,0.0121875,6.35,52.51
0,0.012569444,7.63,101.02,,1,0.012569444,6.92,52.92
0,00:03:000,7.63,101.02,,1,00:03:000,7.3,53.25
0,00:03:033,7.63,101.02,,1,00:03:033,7.36,53.42
0,00:03:066,7.63,101.02,,1,00:03:066,7.43,53.65
0,0.003240741,7.63,101.02,,1,0.003240741,7.8,53.99
0,0.003622685,7.63,101.02,,1,0.003622685,8.01,54.13
0,0.00400463,7.63,101.02,,1,0.00400463,8.07,54.17
0,0.004398148,7.63,101.02,,1,0.004398148,8.07,54.23
0,0.004780093,7.63,101.02,,1,0.004780093,8.38,54.68
0,0.005162037,7.63,101.02,,1,0.005162037,8.75,55.04
0,0.005555556,7.63,101.02,,1,0.005555556,8.9,55.27
0,0.0059375,7.63,101.02,,1,0.0059375,8.89,55.35
0,0.006319444,7.63,101.02,,1,0.006319444,9.72,56.49
0,0.006712963,7.63,101.02,,1,0.006712963,9.68,56.6
0,0.007094907,7.63,101.02,,1,0.007094907,9.73,56.79
0,0.007476852,4.75,99.33,,1,0.007476852,9.17,55.52
0,0.00787037,4.69,99.26,,1,0.00787037,10.87,58.84
0,0.008252315,4.74,99.25,,1,0.008252315,10.72,58.56
0,0.008634259,4.6,99.38,,1,0.008634259,10.88,58.84
0,0.009027778,4.84,99.94,,1,0.009027778,11.25,59.6
0,0.009409722,4.96,100.11,,1,0.009409722,11.3,59.77
0,0.009791667,5.19,100.44,,1,0.009791667,11.44,60.22
0,0.010185185,5.52,100.82,,1,0.010185185,12.13,61.54
0,0.01056713,5.49,100.86,,1,0.01056713,12.3,61.8
0,0.010949074,5.25,100.7,,1,0.010949074,12.33,62.06
0,0.011342593,5.57,100.46,,1,0.011342593,12.4,62.39
0,0.011724537,5.92,100.64,,1,0.011724537,12.69,62.91
0,0.012106481,5.92,100.64,,1,0.012106481,12.86,63.3
0,0.0125,5.92,100.64,,1,0.0125,13.05,64.06
0,0.012881944,5.92,100.64,,1,0.012881944,13.14,64.14
0,0.013263889,5.92,100.64,,1,0.013263889,13.52,64.53
0,00:04:000,5.92,100.64,,1,00:04:000,13.45,65.58
0,00:04:033,5.92,100.64,,1,00:04:033,13.52,65.82
0,00:04:066,5.92,100.64,,1,00:04:066,13.89,66.78
0,0.003935185,5.92,100.64,,1,0.003935185,14.11,67.36
0,0.00431713,5.92,100.64,,1,0.00431713,14.16,68
0,0.004699074,5.92,100.64,,1,0.004699074,14.32,68.92
0,0.005092593,5.92,100.64,,1,0.005092593,14.47,69.84
0,0.005474537,5.92,100.64,,1,0.005474537,14.51,70.19
0,0.005856481,5.92,100.64,,1,0.005856481,14.43,70.57
0,0.00625,5.92,100.64,,1,0.00625,14.38,69.48
0,0.006631944,5.92,100.64,,1,0.006631944,14.5,69.99
0,0.007013889,5.92,100.64,,1,0.007013889,14.62,72.82
0,0.007407407,5.92,100.64,,1,0.007407407,14.57,73.37
0,0.007789352,5.92,100.64,,1,0.007789352,14.59,73.57
0,0.008171296,5.92,100.64,,1,0.008171296,14.58,72.08
0,0.008564815,3.97,100.32,,1,0.008564815,14.32,74.26
0,0.008946759,3.99,100.31,,1,0.008946759,14.06,74.07
0,0.009328704,4.12,100.25,,1,0.009328704,13.88,74.57
0,0.009722222,4.29,100.2,,1,0.009722222,13.62,75.64
0,0.010104167,4.29,100.2,,1,0.010104167,13.23,76.25
0,0.010486111,7.08,100.94,,1,0.010486111,12.92,76.68
0,0.01087963,7.48,100.96,,1,0.01087963,12.53,77.1
0,0.011261574,7.48,100.96,,1,0.011261574,12.46,77.24
0,0.011643519,7.48,100.96,,1,0.011643519,12.09,77.84
0,0.012037037,7.48,100.96,,1,0.012037037,11.85,78.29
0,0.012418981,7.48,100.96,,1,0.012418981,11.77,78.48
0,0.012800926,7.48,100.96,,1,0.012800926,10.89,79.78
0,0.013194444,7.48,100.96,,1,0.013194444,10.53,80.09
0,0.013576389,7.48,100.96,,1,0.013576389,10.5,80.19
0,0.013958333,7.48,100.96,,1,0.013958333,10.32,80.5
0,00:05:000,7.48,100.96,,1,00:05:000,10.09,80.72
0,00:05:033,7.48,100.96,,1,00:05:033,10.1,80.83
0,00:05:066,7.48,100.96,,1,00:05:066,9.89,81.05
0,0.00462963,7.48,100.96,,1,0.00462963,9.8,81.25
0,0.005011574,7.48,100.96,,1,0.005011574,9.79,81.46
0,0.005393519,7.48,100.96,,1,0.005393519,9.79,81.46
0,0.005787037,7.48,100.96,,1,0.005787037,9.58,81.76
0,0.006168981,7.48,100.96,,1,0.006168981,9.58,81.76
0,0.006550926,7.48,100.96,,1,0.006550926,9.58,81.76
0,0.006944444,7.48,100.96,,1,0.006944444,9.58,81.76
0,0.007326389,7.48,100.96,,1,0.007326389,9.58,81.76
0,0.007708333,7.48,100.96,,1,0.007708333,10.26,81.92
0,0.008101852,7.48,100.96,,1,0.008101852,10.84,81.64
0,0.008483796,7.48,100.96,,1,0.008483796,10.96,81.79
0,0.008865741,7.48,100.96,,1,0.008865741,11.1,82.18
0,0.009259259,7.48,100.96,,1,0.009259259,11.45,83.36
0,0.009641204,7.48,100.96,,1,0.009641204,11.59,83.58
0,0.010023148,7.48,100.96,,1,0.010023148,11.87,84.57
0,0.010416667,7.48,100.96,,1,0.010416667,11.96,85.17
0,0.010798611,7.48,100.96,,1,0.010798611,11.99,85.66
0,0.011180556,7.48,100.96,,1,0.011180556,12.09,87.15
0,0.011574074,7.48,100.96,,1,0.011574074,12.02,87.49
0,0.011956019,7.48,100.96,,1,0.011956019,12.11,87.64
0,0.012337963,7.48,100.96,,1,0.012337963,11.98,86.86
0,0.012731481,7.48,100.96,,1,0.012731481,12.06,85.52
0,0.013113426,7.48,100.96,,1,0.013113426,12.1,85.73
0,0.01349537,7.48,100.96,,1,0.01349537,12.11,88.37
0,0.013888889,7.48,100.96,,1,0.013888889,11.98,88.72
0,0.014270833,7.48,100.96,,1,0.014270833,11.99,88.78
0,0.014652778,7.48,100.96,,1,0.014652778,12.18,87.29
0,00:06:000,6,100.55,,1,00:06:000,12.08,87.92
0,00:06:033,6,100.55,,1,00:06:033,12,87.94
0,00:06:066,6,100.55,,1,00:06:066,11.58,91.45
0,0.005324074,6,100.55,,1,0.005324074,11.36,91.77
0,0.005706019,6,100.55,,1,0.005706019,11.34,91.89
0,0.006087963,6,100.55,,1,0.006087963,11.34,92.08
0,0.006481481,6,100.55,,1,0.006481481,11.67,89.49
0,0.006863426,6,100.55,,1,0.006863426,11.67,89.5
0,0.00724537,4.67,98.04,,1,0.00724537,11.13,90.97
0,0.007638889,4.92,98.2,,1,0.007638889,11.76,90.1
